"Consumido";"Concedido(Risc)";"Diferencia";"Forma de plazo (en dies)";"Fp. Real";"Morós"
250,05;0;250,05;0;0;0
;;;;;
1379,99;0;1379,99;0;32;0
;;;;;
3745,61;0;3745,61;0;;0
;;;;;
664,93;0;664,93;0;8;0
;;;;;
6845,09;3000;3845,09;30;81;0
;;;;;
2135,23;0;2135,23;0;;0
;;;;;
3943,75;7000;-3056,25;30;44;0
;;;;;
59993,75;0;59993,75;0;154;0
;;;;;
1455,65;2000;-544,35;30;30;0
;;;;;
2969,98;0;2969,98;0;;0
;;;;;
-700;0;-700;0;0;0
;;;;;
4605,07;0;4605,07;0;1;0
;;;;;
386,26;3000;-2613,74;66;75;0
;;;;;
2158,61;0;2158,61;0;4;0
;;;;;
1038,24;20000;-18961,76;30;40;0
;;;;;
999,68;0;999,68;45;38;0
;;;;;
4118,44;0;4118,44;30;-3;0
;;;;;
911,03;5000;-4088,97;30;39;0
;;;;;
0;0;0;0;35;0
;;;;;
0;0;0;0;0;0
;;;;;
4746,34;3000;1746,34;60;39;0
;;;;;
1746,18;3000;-1253,82;60;73;0
;;;;;
454,58;2000;-1545,42;30;44;0
;;;;;
963,81;3000;-2036,19;47;52;0
;;;;;
3017,25;0;3017,25;0;;0
;;;;;
36,48;3000;-2963,52;75;76;0
;;;;;
2034,54;6000;-3965,46;30;38;0
98,85;0;98,85;0;0;0
;;;;;
9,12;0;9,12;0;0;0
;;;;;
39,07;6000;-5960,93;30;53;0
;;;;;
2201,87;3000;-798,13;30;47;0
;;;;;
2247,86;3000;-752,14;90;30;0
;;;;;
2326,11;4000;-1673,89;30;41;0
;;;;;
5929,96;10000;-4070,04;70;132;0
;;;;;
206,03;2000;-1793,97;60;41;0
;;;;;
11680,72;20000;-8319,28;60;83;0
;;;;;
1838,17;2000;-161,83;0;27;0
;;;;;
55,68;2000;-1944,32;0;127;0
;;;;;
223,11;0;223,11;0;1;0
;;;;;
1289,48;0;1289,48;0;30;0
;;;;;
50;0;50;0;0;0
;;;;;
4598,05;6000;-1401,95;90;95;0
;;;;;
1005,38;2000;-994,62;0;193;0
;;;;;
2440,07;0;2440,07;0;1;0
;;;;;
148,23;0;148,23;0;3;0
;;;;;
755,47;6000;-5244,53;65;72;0
;;;;;
0,42;0;0,42;0;1;0
;;;;;
685,04;0;685,04;0;4;0
;;;;;
356,12;0;356,12;0;4;0
;;;;;
0;0;0;0;;0
;;;;;
1820,47;0;1820,47;0;0;0
;;;;;
986,51;6000;-5013,49;110;145;0
;;;;;
2959,22;6000;-3040,78;75;67;0
;;;;;
13687,89;24000;-10312,11;45;80;0
;;;;;
2671,94;3000;-328,06;60;73;0
;;;;;
14186;4000;10186;0;78;0
;;;;;
350,68;5000;-4649,32;30;46;0
;;;;;
1109,89;2000;-890,11;0;59;0
;;;;;
1050,77;0;1050,77;0;2;0
;;;;;
3170,56;10000;-6829,44;85;85;0
;;;;;
274,37;0;274,37;0;0;0
;;;;;
23,33;4000;-3976,67;30;32;0
;;;;;
1081,84;0;1081,84;25;148;0
;;;;;
239,91;0;239,91;0;0;0
;;;;;
327,12;25000;-24672,88;30;42;0
;;;;;
719,73;0;719,73;0;5;0
;;;;;
2847,15;0;2847,15;0;10;0
;;;;;
337,27;0;337,27;0;0;0
;;;;;
508,08;0;508,08;0;1;0
;;;;;
1880,64;0;1880,64;0;2;0
;;;;;
81,68;2000;-1918,32;30;37;0
;;;;;
108,43;3000;-2891,57;0;41;0
;;;;;
36,18;0;36,18;0;0;0
460,67;1500;-1039,33;60;37;0
;;;;;
6600,27;3000;3600,27;0;72;0
;;;;;
171,63;6000;-5828,37;0;13;0
;;;;;
419,76;0;419,76;0;7;0
;;;;;
434,29;10000;-9565,71;60;47;0
;;;;;
-279,7;3000;-3279,7;30;45;0
;;;;;
290,84;2000;-1709,16;0;21;1
;;;;;
399,8;0;399,8;0;100;0
;;;;;
3066,2;0;3066,2;0;10;1
;;;;;
6205,51;10000;-3794,49;90;98;0
;;;;;
3735,62;8000;-4264,38;90;91;0
;;;;;
1390;0;1390;90;85;0
;;;;;
10,84;0;10,84;0;0;0
;;;;;
27762,29;40000;-12237,72;91;85;0
;;;;;
68,46;0;68,46;60;36;0
;;;;;
